Year,FTAs in India,Percentage (%) change over previous year
1997/01/01,2.37,3.80
1998/01/01,2.36,-0.70
1999/01/01,2.48,5.20
2000/01/01,2.65,6.70
2001/01/01,2.54,-4.20
2002/01/01,2.38,-6.00
2003/01/01,2.73,14.30
2004/01/01,3.46,26.80
2005/01/01,3.92,13.30
2006/01/01,4.45,13.50
2007/01/01,5.08,14.30
2008/01/01,5.28,4.00
2009/01/01,5.17,-2.20
2010/01/01,5.78,11.80
2011/01/01,6.31,9.20
2012/01/01,6.58,4.30
2013/01/01,6.97,5.90
2014/01/01,7.68,10.20
2015/01/01,8.03,4.50
2016/01/01,8.80,9.70
2017/01/01,10.04,14.00
2018/01/01,10.56,5.20
2019/01/01,10.93,3.50
